id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
80104,Guram Minashvili,M,23.0,186.0,84.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Silver
80113,Aleksandr Alekseyevich Minayev,M,21.0,174.0,72.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Football,Football Men's Football,Bronze
80114,Yevgeny Gavrilovich Minayev,M,23.0,156.0,60.0,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Featherweight,Silver
80114,Yevgeny Gavrilovich Minayev,M,27.0,156.0,60.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Featherweight,Gold
80127,Ildik Mincza-Nbald,F,38.0,172.0,59.0,Hungary,HUN,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Women's epee, Individual",Bronze
80135,Sergey Nikolayevich Mindirgasov,M,28.0,180.0,82.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Sabre, Team",Silver
80145,Josef Miner,M,22.0,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Boxing,Boxing Men's Featherweight,Bronze
80154,Viktor Aleksandrovich Mineyev,M,27.0,185.0,82.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
80156,Bruno Mingeon,M,30.0,180.0,90.0,France,FRA,1998 Winter,1998,Winter,Nagano,Bobsleigh,Bobsleigh Men's Four,Bronze
80165,Andrea Minguzzi,M,26.0,179.0,84.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
80175,Irina Edvinovna Minkh,F,24.0,175.0,64.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Women's Basketball,Bronze
80181,Sandra Minnert,F,27.0,173.0,68.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,Bronze
80181,Sandra Minnert,F,31.0,173.0,68.0,Germany,GER,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Bronze
80186,Renzo Minoli,M,24.0,167.0,,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's epee, Team",Gold
80186,Renzo Minoli,M,28.0,167.0,,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's epee, Team",Silver
80196,Alan Minter,M,21.0,178.0,71.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Light-Middleweight,Bronze
80213,Isabelle Catherine Mir,F,18.0,161.0,60.0,France,FRA,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Women's Downhill,Silver
80252,Patricia Noriko Miranda,F,25.0,152.0,48.0,United States,USA,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Women's Flyweight, Freestyle",Bronze
80287,Yevgeny Vasilyevich Mironov,M,26.0,193.0,130.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Shot Put,Silver
