id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
31049,"Hector Monroe ""Hec"" Dyer",M,22.0,188.0,75.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
31055,Chlo Dygert (-Owen),F,19.0,176.0,66.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,Silver
31081,"Rebekah ""Becky"" Dyroen-Lancer",F,25.0,174.0,58.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
31137,"Stanley Joseph ""Stan"" Dziedzic, Jr.",M,27.0,178.0,74.0,United States,USA,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
31167,"Edward Patrick Francis ""Eddie"" Eagan",M,21.0,179.0,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Boxing,Boxing Men's Light-Heavyweight,Gold
31197,"Benjamin Bangs ""Ben"" Eastman",M,21.0,185.0,70.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,Silver
31198,Ivan Leclare Eastman,M,24.0,,,United States,USA,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Gold
31205,Ashton James Eaton,M,24.0,186.0,81.0,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,Gold
31205,Ashton James Eaton,M,28.0,186.0,81.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,Gold
31289,Earl William Eby,M,25.0,179.0,60.0,United States,USA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 800 metres,Silver
31320,"Sheila Ann Echols (-Williams, -Gross)",F,23.0,165.0,52.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
31332,"Cynthia L. ""Cindy"" Eckert (-Rusher)",F,26.0,175.0,66.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Fours,Silver
31394,"Gertrude Caroline ""Trudy"" Ederle",F,18.0,167.0,64.0,United States,USA,1924 Summer,1924,Summer,Paris,Swimming,Swimming Women's 100 metres Freestyle,Bronze
31394,"Gertrude Caroline ""Trudy"" Ederle",F,18.0,167.0,64.0,United States,USA,1924 Summer,1924,Summer,Paris,Swimming,Swimming Women's 400 metres Freestyle,Bronze
